supermercado,nombre,precio,url,seccion
ahorramas,Calabacín,"1,19€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo Frial asada,"19,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 2 kg de pechugas de pollo,"5,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 2kg de alas de pollo,"3,74€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lomo de orza Tello 125gr,"2,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 2kg de contramuslos de pollo,"4,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lubina de ración pieza 400g aproximadamente,"4,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 2 kg de traseros de pollo,"2,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Filetes de añojo 1ªA,"15,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Banana,"1,29€",https://www.ahorramas.com/frescos,frescos
ahorramas,Chuleta de aguja de cerdo duroc,"4,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lote: 250gr Jamón Cocido + 250 gr Pechuga de pavo + 250gr Queso barra,"11,33€",https://www.ahorramas.com/frescos,frescos
ahorramas,Berenjena,"1,79€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 2kg de jamoncitos de pollo,"3,74€",https://www.ahorramas.com/frescos,frescos
ahorramas,Merluza en filetes,"11,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Mini burguer angus 10 uds,"5,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón cocido extra La Selva,"15,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Panceta de cerdo duroc,"6,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lote: 250gr Jamón curado+250gr Chorizo cebo campo+250gr Queso curado,"15,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Croquetas de pollo y jamón,"7,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón de cebo 50% raza ibérico Legado ibérico al corte,"48,00€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de oveja viejo Alipende,"13,96€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de burgos Angulo,"10,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE: 250 gr jamón cocido + 250 gr Salchichón ibérico + 250gr Queso curado,"15,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Langostino cocido gordo,"9,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Chorizo de vela ibérico Florencio Gómez medio o entero pieza 600g aproximadamente,"18,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de cincho Angulo,"10,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso reserva García Baquero,"18,99€",https://www.ahorramas.com/frescos,frescos
