supermercado,nombre,precio,url,seccion
alcampo,Arándanos vaso 500 g.,"Precio
5,89 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pomelo rojo a granel,"Precio
1,79 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Fresón tarrina de 500 g.,"Precio
1,79 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,AUCHAN Fresón Candela temprano ALCAMPO CULTIVAMOS LO BUENO 400 g.,"Precio
3,29 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Fresón Leyre 400 g.,"Precio
3,29 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Lima a granel,"Precio
2,00 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Limas, bandeja de 500 gramos","Precio
1,99 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Aguacates a granel,"Precio
2,81 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Tomate pera a granel,"Precio
1,94 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Limones 750 g.,"Precio
1,29 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Mandarinas malla 1 kg,"Precio
1,39 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas Golden 1 kg,"Precio
1,39 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Naranja a granel ALCAMPO CULTIVAMOS LO BUENO,"Precio
1,38 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
