supermercado,nombre,nombre_limpio,precio,url,seccion
ahorramas,Calabacín,calabacin,1.39,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo Frial asada,pechuga de pavo frial asada,19.89,https://www.ahorramas.com/frescos,frescos
ahorramas,Melón El Abuelo,melon el abuelo,1.59,https://www.ahorramas.com/frescos,frescos
ahorramas,Aguacate,aguacate,4.89,https://www.ahorramas.com/frescos,frescos
ahorramas,Gazpacho Alvalle 1l pack 2,gazpacho alvalle 1l pack 2,4.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Filetes de añojo 1ªA,filetes de anojo 1aa,15.99,https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 1 kg de alas adobadas + 1 kg de longaniza de pollo + 1 kg contramuslos de pollo,lote 1 kg de alas adobadas + 1 kg de longaniza de pollo + 1 kg contramuslos de pollo,5.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Dorada de ración pieza 400g aproximadamente,dorada de racion pieza 400g aproximadamente,4.99,https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 1kg de pechugas + 1kg de traseros de pollo,lote 1kg de pechugas + 1kg de traseros de pollo,4.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Solomillo de cerdo,solomillo de cerdo,9.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Gallo de ración,gallo de racion,5.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Lote: 250gr Jamón cocido+250gr Pavo+250gr Queso barra,lote: 250gr jamon cocido+250gr pavo+250gr queso barra,11.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Bonito en rodajas,bonito en rodajas,11.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Lote:250gr Jamón curado+250gr Chorizo ibérico+250gr Queso,lote:250gr jamon curado+250gr chorizo iberico+250gr queso,19.33,https://www.ahorramas.com/frescos,frescos
ahorramas,Longaniza payés Pirineu media o entera pieza 450g aproximadamente,longaniza payes pirineu media o entera pieza 450g aproximadamente,16.50,https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 1 kg de panceta + 1 kg de longaniza + 1 kg de costilla adobada,lote 1 kg de panceta + 1 kg de longaniza + 1 kg de costilla adobada,7.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Mortadella Bologna IGP Casa Modena,mortadella bologna igp casa modena,12.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Lote_250gr Jamón curado+250gr Salchichón ibérico+250gr Queso,lote_250gr jamon curado+250gr salchichon iberico+250gr queso,19.33,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso semicurado García Baquero,queso semicurado garcia baquero,14.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Chorizo extra Alipende,chorizo extra alipende,6.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Foie gras pato bloc Martiko,foie gras pato bloc martiko,60.00,https://www.ahorramas.com/frescos,frescos
ahorramas,Gazpacho Alvalle 1l pack 2,gazpacho alvalle 1l pack 2,4.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Gazpacho Don Simón 1l,gazpacho don simon 1l,1.60,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso rallado cinco quesos Alipende 200g,queso rallado cinco quesos alipende 200g,2.50,https://www.ahorramas.com/frescos,frescos
ahorramas,Gazpacho premium La Huerta Don Simón 1l,gazpacho premium la huerta don simon 1l,2.70,https://www.ahorramas.com/frescos,frescos
ahorramas,Gazpacho García Millán 1l,gazpacho garcia millan 1l,3.75,https://www.ahorramas.com/frescos,frescos
ahorramas,Mini burguer angus 10 uds,mini burguer angus 10 uds,5.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Chistorra receta de Navarra Floristán 200g,chistorra receta de navarra floristan 200g,1.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón curado en medias lonchas Navidul pack 2 de 69g,jamon curado en medias lonchas navidul pack 2 de 69g,3.00,https://www.ahorramas.com/frescos,frescos
ahorramas,Salmorejo Don Simon 1l,salmorejo don simon 1l,2.20,https://www.ahorramas.com/frescos,frescos
ahorramas,Salmon marinado Eurosalmon 90g,salmon marinado eurosalmon 90g,3.65,https://www.ahorramas.com/frescos,frescos
ahorramas,Salmorejo premium La Huerta Don Simón 1l,salmorejo premium la huerta don simon 1l,3.00,https://www.ahorramas.com/frescos,frescos
ahorramas,Hamburguesa de pollo y pavo Aldelis pack 4 de 80g,hamburguesa de pollo y pavo aldelis pack 4 de 80g,2.60,https://www.ahorramas.com/frescos,frescos
ahorramas,Escalopín de lomo extratierno ElPozo 600g aproximadamente,escalopin de lomo extratierno elpozo 600g aproximadamente,5.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Fiambre de sándwich en lonchas Alipende 300g,fiambre de sandwich en lonchas alipende 300g,1.75,https://www.ahorramas.com/frescos,frescos
ahorramas,Hamburguesa de pollo y espinacas Aldelis pack 4 de 78g,hamburguesa de pollo y espinacas aldelis pack 4 de 78g,2.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso en porciones La Vaca Que Ríe 24 uds,queso en porciones la vaca que rie 24 uds,3.75,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso en dados en salmuera Arla 200g,queso en dados en salmuera arla 200g,2.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso oveja curado ahumado Albeniz 250 gr.,queso oveja curado ahumado albeniz 250 gr.,3.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Fuet family ElPozo 2x170gr,fuet family elpozo 2x170gr,3.39,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso crema de camembert para untar Président 125g,queso crema de camembert para untar president 125g,1.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Chorizo en lonchas calidad extra España 200g,chorizo en lonchas calidad extra espana 200g,2.75,https://www.ahorramas.com/frescos,frescos
ahorramas,Ensalada gourmet Florette 175g,ensalada gourmet florette 175g,1.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Mortadela Bologna Igp Casa Módena 100G,mortadela bologna igp casa modena 100g,1.75,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso crema de queso azul Président 125g,queso crema de queso azul president 125g,1.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Crema de jamón ibérico Iberitos 140g,crema de jamon iberico iberitos 140g,1.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Crema de jamón york Iberitos 250g,crema de jamon york iberitos 250g,1.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Ensalada primeros brotes rúcula Florette 100g,ensalada primeros brotes rucula florette 100g,2.29,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso mezcla viejo intenso Albeniz 300 gr.,queso mezcla viejo intenso albeniz 300 gr.,3.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Solomillo extratierno El Pozo 700gr aprox,solomillo extratierno el pozo 700gr aprox,7.73,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso crema semicurado Président 125g,queso crema semicurado president 125g,1.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Salchicha Wecken 300gr frankfurt,salchicha wecken 300gr frankfurt,2.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Hamburguesa 99% carne de vacuno Casa de Vacas 2x150 gr.,hamburguesa 99% carne de vacuno casa de vacas 2x150 gr.,6.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo en bloc Pavofrío 340g,pechuga de pavo en bloc pavofrio 340g,3.75,https://www.ahorramas.com/frescos,frescos
ahorramas,Salchichón en lonchas calidad extra España 200g,salchichon en lonchas calidad extra espana 200g,2.75,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso crema brie trufa Président 105g,queso crema brie trufa president 105g,1.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso crema de oveja Flor De Esgueva 125g,queso crema de oveja flor de esgueva 125g,1.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Salchicha Wecken 300gr bratwurstwecken,salchicha wecken 300gr bratwurstwecken,2.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Ensalada césar american style Florette 200g,ensalada cesar american style florette 200g,3.79,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso tierno en lonchas light El Ventero 160g,queso tierno en lonchas light el ventero 160g,3.25,https://www.ahorramas.com/frescos,frescos
ahorramas,Paté Martiko 140 gr Surtidos,pate martiko 140 gr surtidos,3.39,https://www.ahorramas.com/frescos,frescos
ahorramas,Salmorejo Alvalle 1l,salmorejo alvalle 1l,3.39,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso fresco suave Angulo tarrina 500g,queso fresco suave angulo tarrina 500g,3.49,https://www.ahorramas.com/frescos,frescos
