supermercado,nombre,nombre_limpio,precio,url,seccion
alcampo,Sandía rayada baja en pepitas.,sandia rayada baja en pepitas.,3.24,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Uva roja a granel,uva roja a granel,1.50,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Melón de autor Gran Selección,melon de autor gran seleccion,4.17,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Melocotón amarillo a granel.,melocoton amarillo a granel.,1.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Sandía mini.,alcampo cultivamos lo bueno sandia mini.,2.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Uvas rojas sin pepitas, cesta 500 g.","uvas rojas sin pepitas, cesta 500 g.",1.88,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Melocotones amarillos, cesta de 1 kg","melocotones amarillos, cesta de 1 kg",1.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Paraguaya a granel,paraguaya a granel,3.39,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Plátano Canario extra bolsa,platano canario extra bolsa,1.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Brevas, bandeja 500 g.","brevas, bandeja 500 g.",4.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Nectarina carne amarilla a granel,nectarina carne amarilla a granel,3.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Sandía negra baja en semillas,alcampo cultivamos lo bueno sandia negra baja en semillas,5.94,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Albaricoques a granel,albaricoques a granel,3.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Melón Premium,alcampo cultivamos lo bueno melon premium,4.87,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Sandía Foodie.,sandia foodie.,9.54,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Calabacines a granel,calabacines a granel,1.18,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Nectarina carne amarilla a granel,nectarina carne amarilla a granel,3.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Tomate rosado a granel,tomate rosado a granel,2.95,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Melocotón amarillo a granel.,melocoton amarillo a granel.,1.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Melón galia,melon galia,1.79,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
