supermercado,nombre,precio,url,seccion
mercadona,Plátano de Canarias IGP,"0,51 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Banana,"0,26 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Plátano macho,"0,93 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Uva blanca sin semillas,"2,55 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Uva roja sin semillas,"2,50 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Manzana Golden,"0,40 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Manzanas Golden,"2,93 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Pera Conferencia,"0,46 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Peras Conferencia,"3,38 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Manzana roja dulce,"0,78 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Manzanas rojas dulces,"3,83 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Pera Ercolina,"0,36 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Manzana Granny Smith,"0,41 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Pera Rocha,"0,38 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Manzana roja acidulce,"0,67 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Manzanas rojas acidulces,"3,83 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,1/4 Sandía baja en semillas,"4,05 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Sandía baja en semillas,"11,44 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Medio melón piel de sapo,"3,85 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Melón piel de sapo,"5,89 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Limones,"2,25 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Limón,"0,54 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Mandarina,"0,35 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Mandarinas,"3,60 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Mandarina,"3,80 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Naranja para mesa,"0,59 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Naranjas,"4,35 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Naranjas,"5,75 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Pomelo,"0,90 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Lima,"0,42 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Kiwi verde,"0,38 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Kiwis verdes,"3,06 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Aguacate,"1,17 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Aguacates,"3,32 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Piña,"3,62 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Media piña,"2,21 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Guacamole Hacendado,"3,95 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Guacamole Hacendado,"1,75 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Mango,"1,89 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Piña natural a rodajas,"3,10 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Papaya,"3,05 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Fresón,"2,25 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Fresón,"4,16 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Frambuesa,"2,41 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Moras,"2,45 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Arándanos,"3,15 €",https://tienda.mercadona.es/categories/27,fruta
mercadona,Arándanos,"6,00 €",https://tienda.mercadona.es/categories/27,fruta
